Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;635.893.025.932.571;667.088.239.658.343;152.824.775.433.392;0;38;741.542.893.631.471;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;1;1600;760.044.443.726.684;15;0;0;0;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;73857;635.893.025.932.571;667.088.239.658.343;0.666666666666667;1;85;741.542.893.631.471;145;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;52;1536;760.044.443.726.684;12;0;0;1;0;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;373632;0;667.088.239.658.343;08. May;0;139.346.467.067.547;403;0;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;1;143.125.195.099.837;1518;760.044.443.726.684;18;0;0;0;1;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;373632;0;667.088.239.658.343;08. May;0;139.346.467.067.547;403;0;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;1;143.125.195.099.837;1518;760.044.443.726.684;18;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;19936;134756;667.088.239.658.343;0.333333333333333;0;139.346.467.067.547;36;80;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;3;267.689.931.696.855;0;1;0;143.125.195.099.837;2560;760.044.443.726.684;20;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;635.893.025.932.571;667.088.239.658.343;152.824.775.433.392;1;0;741.542.893.631.471;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;1;1536;760.044.443.726.684;8;0;1;0;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;635.893.025.932.571;667.088.239.658.343;152.824.775.433.392;1;0;741.542.893.631.471;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;1;1536;760.044.443.726.684;8;0;1;0;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;635.893.025.932.571;667.088.239.658.343;152.824.775.433.392;1;0;741.542.893.631.471;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;1;1;1536;760.044.443.726.684;8;0;1;0;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;6784;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;150;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;1;1600;760.044.443.726.684;9;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;6784;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;150;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;1;1600;760.044.443.726.684;9;0;0;0;1;0
