p2_uplift_seminarWI
Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;1;0;0;0;0;0;;;23323;24769;;1;0;;0;25;;;;2;;0;1;0;;1280;;14;0;0;1;0;0
0;1;0;0;0;0;0;;;33138;42324;;1;0;;9;50;;;;1;;0;1;3;;1280;;12;0;0;0;1;0
0;1;1;2;0;1;0;3605030;;29142;51137;5340;;0;;0;44;;143;;2;115;2;53;10;10;1366;460;6;0;0;0;0;1
0;1;0;0;0;0;0;;;816;26627;;;0;;12;37;;;;2;;0;1;3;;1920;;17;0;0;0;1;0
0;1;0;0;0;0;0;;;;71986;;;0;;0;;;;;0;;0;1;1;;1280;;16;0;0;0;1;0
0;1;0;0;0;0;0;;;58230;281376;;;0;;0;12;;;;5;;0;1;1;23;1920;;16;0;0;1;0;0
1;1;0;24;0;1;0;;;386272;518219;859945;;0;;27;322;;596;;6;758;4;112;5;40;1366;;14;0;0;0;0;1
0;1;1;0;0;0;0;2767643;;;221427;;;0;;24;;;;;0;;0;1;5;7;1536;1213;14;0;0;0;1;0
0;1;0;0;0;0;0;;;;75664;;;0;;0;;;;;0;;0;1;1;;1920;;8;0;0;0;1;0
0;1;1;0;0;0;0;2648221;;;10490;;;0;;6;;;;;0;;0;1;2;;1280;94;21;0;0;0;1;0
0;1;1;0;0;0;0;3458669;;;57283;;;0;;5;;;;;0;;0;1;1;;1280;2402;14;0;0;0;1;0
0;1;0;0;0;0;0;;;;3404218;;;0;;0;;;;;0;;0;1;1;11;1152;;13;0;0;0;1;0
0;1;0;0;0;0;0;;;;41161;;;0;45;0;;;;;0;;0;1;3;3;1600;;16;0;0;0;1;0
0;1;0;0;0;0;0;;;;25042;;;0;;0;;;;;0;;0;1;0;5;1280;;12;0;0;0;1;0
0;1;0;0;0;0;0;;;69890;321865;;;0;;8;104;;;;8;;0;1;18;;1280;;13;0;0;0;1;0
0;1;0;0;0;0;0;;;;50600;;;0;;0;;;;;0;;0;1;3;71;1024;;11;0;0;0;1;0
